model,MAE,MAE_std,RMSE,RMSE_std,R2,R2_std,training_time_s
GradientBoosting,0.9533247916346479,0.027847906587409783,1.2206082499637692,0.03231857504284585,0.2189215569087001,0.025018718534513238,8.94
LightGBM,0.9559959456488082,0.027148805737350772,1.2227131690525077,0.031113335792909834,0.21623427232704567,0.023378705658107894,6.18
CatBoost,0.9592639431929134,0.0256494288019965,1.2241672405480588,0.03035189146456273,0.2143285231659858,0.024072273440607646,2.89
Ridge,0.9791087601894113,0.02365053636709535,1.2401053819612726,0.027037595006206113,0.19383896702568354,0.016576868348340042,0.08
LinearRegression,0.9792692009501925,0.02369115611657013,1.2402456805595468,0.027057071596986098,0.1936533345954486,0.0167590299477905,0.11
RandomForest,0.9793738769613709,0.022752411820091842,1.254858864175977,0.025119233552667625,0.17436211311407704,0.021930868099775472,1.86
Lasso,0.9916534574577401,0.02462436269870107,1.2518843182568242,0.028914907196989203,0.17855120084560855,0.014196686953627326,0.09
XGBoost,1.0094225649278257,0.029072104285604743,1.2985637393436251,0.03279013967350986,0.11556621567671801,0.03765562570423116,0.81
DecisionTree,1.0130894475605687,0.030631695020578865,1.3053135867423844,0.02928030808449155,0.10688553082405336,0.016535493954306018,0.11
